385 4309269 7421 
386 4316690 7407 
387 4324097 7395 
388 4331492 7375 
389 4338867 7365 
390 4346232 7366 
391 4353598 7387 
392 4360985 7369 
393 4368354 7348 
394 4375702 7343 
395 4383045 7323 
396 4390368 7297 
397 4397665 7302 
398 4404967 7318 
399 4412285 7305 
400 4419590 7319 
401 4426909 7280 
402 4434189 7251 
403 4441440 7277 
404 4448717 7280 
405 4455997 7201 
406 4463198 7194 
407 4470392 7232 
408 4477624 7199 
409 4484823 7213 
410 4492036 7147 
411 4499183 7151 
412 4506334 7176 
413 4513510 7153 
414 4520663 7162 
415 4527825 7137 
416 4534962 7108 
417 4542070 7079 
418 4549149 7062 
419 4556211 7067 
420 4563278 7026 
421 4570304 7072 
422 4577376 7020 
423 4584396 7013 
424 4591409 7048 
425 4598457 7021 
426 4605478 7000 
427 4612478 6994 
428 4619472 7013 
429 4626485 7021 
430 4633506 6988 
431 4640494 6979 
432 4647473 6955 
433 4654428 6969 
434 4661397 6970 
435 4668367 6950 
436 4675317 6918 
437 4682235 6930 
438 4689165 6891 
439 4696056 6894 
440 4702950 6902 
441 4709852 6888 
442 4716740 6894 
443 4723634 6868 
444 4730502 6876 
445 4737378 6873 
446 4744251 6897 
447 4751148 6856 
448 4758004 6829 
449 4764833 6837 
450 4771670 6798 
451 4778468 6811 
452 4785279 6803 
453 4792082 6799 
454 4798881 6789 
455 4805670 6772 
456 4812442 6801 
457 4819243 6750 
458 4825993 6774 
459 4832767 6778 
460 4839545 6769 
461 4846314 6767 
462 4853081 6739 
463 4859820 6720 
464 4866540 6691 
465 4873231 6705 
466 4879936 6715 
467 4886651 6692 
468 4893343 6666 
469 4900009 6684 
470 4906693 6638 
471 4913331 6632 
472 4919963 6646 
473 4926609 6605 
474 4933214 6619 
475 4939833 6584 
476 4946417 6606 
477 4953023 6579 
478 4959602 6579 
479 4966181 6557 
480 4972738 6564 
481 4979302 6539 
482 4985841 6534 
483 4992375 6536 
484 4998911 6519 
485 5005430 6553 
486 5011983 6507 
487 5018490 6507 
488 5024997 6498 
489 5031495 6485 
490 5037980 6505 
491 5044485 6472 
492 5050957 6495 
493 5057452 6484 
494 5063936 6477 
495 5070413 6504 
496 5076917 6463 
497 5083380 6458 
498 5089838 6474 
499 5096312 6439 
500 5102751 6480 
501 5109231 6434 
502 5115665 6429 
503 5122094 6428 
504 5128522 6441 
505 5134963 6427 
506 5141390 6425 
507 5147815 6437 
508 5154252 6430 
509 5160682 6394 
510 5167076 6401 
511 5173477 6384 
512 5179861 6367 
513 5186228 6386 
514 5192614 6383 
515 5198997 6391 
516 5205388 6369 
517 5211757 6365 
518 5218122 6370 
519 5224492 6356 
